query-id	corpus-id	score
2009011	627	1
2009011	1064	1
2009011	780	1
2009011	717	0
2009011	1164	0
2009036	753	2
2009036	1164	0
2009036	775	0
2009036	717	0
2009067	1164	1
2009067	612	0
2009067	775	0
2009067	1134	0
2009067	780	0
2009073	1134	0
2009073	780	0
2009073	1164	0
2009073	1064	0
2009073	717	0
2009073	627	-0
2009073	612	-0
2009073	775	-0
2009074	1164	0
2009074	775	0
2009074	1063	0
2009074	1134	0
2009078	1164	2
2009078	775	1
2009078	1063	0
2009078	627	0
2009078	717	0
2009078	1134	0
2009085	717	-0
2009085	775	-0
2009085	1164	-0
2009085	627	-0
2009085	1134	-0
2009085	1064	-0
2009085	780	-0
